"Company ""ABC""",,,
Monthly Sales Report,,,
,,,
DATE,SALESREP,PRODUCTID,QTY
1/10/2020,1013,T03M,31
1/22/2020,1016,T03L,19
1/18/2020,1008,C01U,9
1/11/2020,1015,P03S,7
1/1/2020,1006,S01S,35
1/9/2020,1014,S01M,5
1/20/2020,1009,C01U,19
1/24/2020,1026,T01S,5
1/4/2020,1026,C01U,9
1/29/2020,1014,S01L,23
1/20/2020,1022,P01L,7
1/30/2020,1005,S01M,39
1/9/2020,1008,T02M,5
1/1/2020,1028,T02S,12
1/16/2020,1014,P03S,38
1/10/2020,1029,C01U,26
1/4/2020,1020,S02L,4
1/7/2020,1014,T03S,24
1/23/2020,1009,P01L,21
1/8/2020,1033,P03S,8
1/13/2020,1014,T01M,11
1/5/2020,1013,S02M,10
1/27/2020,1029,T01S,11
1/23/2020,1029,S03M,7
1/30/2020,1006,T01L,33
1/28/2020,1027,S02L,26
1/10/2020,1033,P02L,21
1/13/2020,1012,P02M,21
1/16/2020,1028,T03L,3
1/2/2020,1016,S02L,7
1/25/2020,1016,S01M,15
1/14/2020,1021,T03L,21
1/31/2020,1017,T01M,15
1/11/2020,1012,P01M,32
1/1/2020,1009,S02M,7
1/19/2020,1009,C02U,25
1/17/2020,1003,P01L,31
1/11/2020,1015,S02M,1
1/3/2020,1016,T03M,35
1/28/2020,1016,T01S,39
1/1/2020,1013,S02M,24
1/24/2020,1008,S02L,15
1/23/2020,1030,P03S,20
1/11/2020,1017,T02M,30
1/9/2020,1022,P02L,31
1/13/2020,1014,T02L,5
1/29/2020,1020,T03S,12
1/26/2020,1017,S02S,39
1/8/2020,1026,T03S,1
1/31/2020,1022,S02S,18
1/15/2020,1005,S03L,13
1/1/2020,1003,C01U,33
1/23/2020,1005,T03M,2
1/13/2020,1003,T03L,32
1/13/2020,1016,P01L,16
1/22/2020,1013,S03S,40
1/27/2020,1017,C03U,35
1/12/2020,1009,P01M,13
1/14/2020,1026,S02M,17
1/22/2020,1030,S02S,16
1/6/2020,1014,S02M,28
1/28/2020,1016,P02M,35
1/15/2020,1015,P01L,20
1/5/2020,1015,T02S,25
1/12/2020,1014,P02L,26
1/15/2020,1032,S03S,19
1/23/2020,1029,S01S,40
1/29/2020,1034,S01M,6
1/10/2020,1026,S02L,7
1/14/2020,1017,S03L,40
1/9/2020,1026,T03S,38
1/17/2020,1032,C01U,34
1/26/2020,1003,P01L,30
1/27/2020,1020,T03S,17
1/20/2020,1008,P02S,4
1/24/2020,1017,S02L,3
1/15/2020,1012,P03L,38
1/30/2020,1034,T01M,1
1/14/2020,1015,S02S,20
1/9/2020,1033,P03S,5
1/5/2020,1021,P02L,12
1/13/2020,1029,T03L,38
1/3/2020,1022,C02U,30
1/14/2020,1030,S01L,17
1/8/2020,1030,S03M,35
1/16/2020,1020,T01L,8
1/22/2020,1008,S03M,17
1/28/2020,1006,P03S,23
1/17/2020,1029,P02L,21
1/26/2020,1028,P01L,35
1/31/2020,1030,C03U,36
1/1/2020,1005,T01L,4
1/12/2020,1020,S03L,8
1/29/2020,1012,P01L,1
1/6/2020,1015,T01L,24
1/7/2020,1012,C03U,21
1/29/2020,1028,C01U,29
1/1/2020,1020,S01L,38
1/27/2020,1013,P01L,19
1/27/2020,1012,S01S,7
1/18/2020,1026,P01L,24
1/2/2020,1021,P03S,20
1/30/2020,1029,T03M,26
1/4/2020,1017,T02L,40
1/30/2020,1013,T02M,36
1/28/2020,1006,P01M,39
1/6/2020,1020,S03M,4
1/8/2020,1015,P02M,35
1/13/2020,1003,P01S,28
1/27/2020,1006,S02L,19
1/8/2020,1009,C01U,39
1/22/2020,1022,P02M,36
1/12/2020,1017,C03U,26
1/25/2020,1012,C01U,30
1/30/2020,1006,C03U,36
