"Company ""ABC""",,,
Monthly Sales Report,,,
,,,
DATE,SALESREP,PRODUCTID,QTY
3/21/2020,1015,S03L,2
3/1/2020,1012,T03L,9
3/19/2020,1015,T03M,32
3/13/2020,1022,T02L,34
3/1/2020,1006,C03U,35
3/7/2020,1022,T02M,28
3/24/2020,1014,P02M,40
3/18/2020,1008,T01S,1
3/8/2020,1028,S03M,34
3/5/2020,1033,P03S,13
3/10/2020,1006,P02M,34
3/1/2020,1033,S01S,4
3/11/2020,1029,P01L,16
3/11/2020,1026,S01L,17
3/1/2020,1034,P03L,12
3/9/2020,1006,T01S,21
3/6/2020,1013,P03L,22
3/26/2020,1028,T01L,6
3/24/2020,1017,T01L,2
3/3/2020,1009,T02M,33
3/30/2020,1012,S02L,35
3/20/2020,1009,T03M,6
3/30/2020,1034,P03S,9
3/27/2020,1032,T03M,40
3/21/2020,1028,S02S,20
3/5/2020,1012,C02U,38
3/9/2020,1028,T02S,36
3/4/2020,1021,S01L,38
3/22/2020,1016,C01U,35
3/3/2020,1003,S03L,9
3/17/2020,1022,T03L,16
3/21/2020,1006,S03S,7
3/23/2020,1033,T02L,5
3/31/2020,1014,S02L,1
3/22/2020,1012,S01M,26
3/2/2020,1005,S03M,19
3/23/2020,1034,S03M,25
3/24/2020,1016,S01M,3
3/24/2020,1003,T01S,18
3/2/2020,1017,P01S,34
3/23/2020,1014,P01L,32
3/10/2020,1003,C03U,14
3/9/2020,1017,S01L,12
3/21/2020,1015,P02S,2
3/20/2020,1029,T01M,15
3/9/2020,1014,S03M,37
3/29/2020,1033,S02M,33
3/27/2020,1005,S03L,31
3/9/2020,1020,C03U,34
3/1/2020,1003,T01M,31
3/2/2020,1032,C01U,36
3/26/2020,1020,S03M,36
3/9/2020,1032,T02L,2
3/27/2020,1021,P03L,24
3/28/2020,1003,P02L,10
3/12/2020,1014,P01L,24
3/23/2020,1003,S01S,22
3/16/2020,1013,S02L,20
3/12/2020,1033,P01M,23
3/27/2020,1014,S01S,40
3/28/2020,1032,S01L,14
3/19/2020,1034,S03S,23
3/29/2020,1027,C03U,17
3/20/2020,1022,T03L,19
3/24/2020,1034,S02L,11
3/21/2020,1008,T03L,30
3/8/2020,1034,T01S,20
3/7/2020,1034,T02M,11
3/9/2020,1022,S03S,11
